Product_Name,Price,Discount,Category
Organic - Raw Peanuts/Kadalekayi,108,20,grocery
"Indian Cashew Whole - Premium & Hand Picked, 100% Natural",537,23,grocery
"American Pistachios - Roasted & Salted, 100% Natural, Premium, No Additives",678,15,grocery
"Indian Roasted Flax Seeds - Premium & Hand Picked, 100% Natural",53,73,grocery
Organic Black Mustard,72,10,grocery
Hing Powder,75,17,grocery
Organic - Cumin/Jeera/Jeerige,185,69,grocery
Organic - Urad Whole Gota Unpolished,306,39,grocery
Sooji Ordinary/Bombay Rava,325,18,grocery
Organic Fried Gram/Huri Kadale,140,57,grocery
Powder - Asafoetida,883,30,grocery
Organic - Toor Dal/Togari Bele,1016,38,grocery
"Chilean Walnut Kernels - 100% Natural, Premium & Healthy, No Additives",371,49,grocery
Organic - Cardamom/Elachi Green,505,29,grocery
Organic - Cinnamon/Dalchini,255,11,grocery
Fine Besan/Kadale Hittu - 100% Chana Dal,137,40,grocery
Sona Masoori Raw Rice (12-17 Months old),360,12,grocery
Chicken Masala,103,64,grocery
"Chilli Powder - Perfect Colour, Smell & Taste",123,43,grocery
Vietnamese Cassia Whole,107,51,grocery
"Cotton Canvas Vegetable/Grocery Bag - Printed, White, Reusable",369,51,grocery
Ginger Powder - Rich Aroma & Sharp Flavour,329,14,grocery
Oregano,209,0,grocery
"Dried Cranberry - Low In Calorie, No Preservatives",419,0,grocery
Afghan Kismiss,395,0,grocery
"Roasted & Salted Peanuts - Tangy Flavour, High Protein & Fibre",219,0,grocery
Masala - Garam,185,0,grocery
Masala - Chhole,67,0,grocery
"Grocery Jar - Durable, Blue",139,0,grocery
Powder - Turmeric,72,0,grocery
"Masala - Kitchen King, Jain",94,0,grocery
Powder - Kashmiri Chilli,195,0,grocery
"Afghan Black Raisins - Seedless, 100% Natural, Premium & Healthy, No Additives",295,0,grocery
"Turkish Apricots - Premium & Hand Picked, 100% Natural",300,0,grocery
Masala - Dal,78,0,grocery
"Household Candle 40 D - Sturdy, White Colour",46,10,household
"Household Candle 40 C - Sturdy, White Colour",46,12,household
"Gala Sponge Wipe Kitchen Cleaner,1pc + Mr Muscle Glass & Household Cleaner,500ml",163,38,household
"Household Candle 98 D - Sturdy, White Colour",113,15,household
Colin Cleaner - Glass & Household 500 ml + Scotch Brite Sponge Wipe Large 1 pc,182,14,household
"Household Kitchen Set - For Kids, Role Play Toys",499,13,household
Household Cotton Braided Doormat - Black,169,19,household
"2 in1 Mop With Jet Spray - Wet/Dry Mopping, Household Use",99,0,household
"Household Candle 98 E - Sturdy, White Colour",109,0,household
Household Candles Unscented,269,0,household
"Household Candle 65 E - Sturdy, White Colour",199,0,household
Glass & Household Cleaner - Ultra Shine,299,0,household
"Household Candle 40 D - Sturdy, White Colour",46,10,household
"Household Candle 40 C - Sturdy, White Colour",46,12,household
"Gala Sponge Wipe Kitchen Cleaner,1pc + Mr Muscle Glass & Household Cleaner,500ml",163,38,household
"Household Candle 98 D - Sturdy, White Colour",113,15,household
Colin Cleaner - Glass & Household 500 ml + Scotch Brite Sponge Wipe Large 1 pc,182,14,household
"Household Kitchen Set - For Kids, Role Play Toys",499,13,household
Household Cotton Braided Doormat - Black,169,19,household
"2 in1 Mop With Jet Spray - Wet/Dry Mopping, Household Use",99,10,household
"Household Candle 98 E - Sturdy, White Colour",109,12,household
Household Candles Unscented,269,38,household
"Household Candle 65 E - Sturdy, White Colour",199,15,household
Glass & Household Cleaner - Ultra Shine,299,14,household
"Household Candle 98 F - Sturdy, White Colour",163,13,household
"Household Candle 65 D - Sturdy, White Colour",113,19,household
"All Purpose Scissor - Multifunctional Kitchen/Household/Garden, 8.3""/21 Cm",182,19,household
"All Purpose Scissor For General Household - 5.5""/14 Cm, Yellow, Use In Kitchen & Stationery",499,0,household
"All Purpose Scissor For General Household - 6.5""/16.5 Cm, Pink, Use In Kitchen & Stationery",169,0,household
"Anti Bacterial Household Surface - 40%Extra free, Imported",99,0,household
"All Purpose Scissor For Household With Thick Blade - 8.5""/21.5 Cm, Yellow, Use In Kitchen & Stationery",109,0,household
"All Purpose Multifunctional Kitchen/Household/Garden Scissor - 8""/20 Cm, Use In Kitchen & Stationery",269,0,household
"Gala Sponge Wipe Kitchen Cleaner,1pc + Mr Muscle Glass & Household Cleaner,500ml",199,0,household
"Household Candle 98 D - Sturdy, White Colour",299,0,household
Colin Cleaner - Glass & Household 500 ml + Scotch Brite Sponge Wipe Large 1 pc,46,0,household
"Household Kitchen Set - For Kids, Role Play Toys",31,0,household
"Cleaning Liquid - Window Shine, Glass & Household",329,0,household
"2 in1 Mop With Jet Spray - Wet/Dry Mopping, Household Use",169,0,household
"Household Candle 98 E - Sturdy, White Colour",85,0,household
Household Candles Unscented,159,0,household
"Household Candle 65 E - Sturdy, White Colour",499,0,household
Stand & Pee Biodegradable Urination Funnel For Women - Prevents Infection,299,16,personal care
"Lady Bladder Control Pads - Plus, Leakproof, Eliminates Odour",532,12,personal care
Super Soft Premium Disposable Maternity Breast Pads (36 Pads),449,15,personal care
Complete Care Pregnancy Gift Box,1689,5,personal care
Intimate Wash,550,25,personal care
Lady Slim Bladder Control Pads - Extra,247,17,personal care
Specialist Skin Care Oil,2210,80,personal care
Double Side Cotton Pads,149,80,personal care
For Moms - Nipple Care Butter,76,49,personal care
Natural Nipple Butter For Breastfeeding Moms,299,42,personal care
"Cotton Buds - Made With Natural Fibres, Soft",99,42,personal care
LMN BB 433 Fragrance Oil - Lemon,45,49,personal care
Washable Cotton Maternity Breast Pads - White,370,42,personal care
Love is in the Air Aroma Oil,720,40,personal care
Aroma Oil Festive Box,1500,0,personal care
Walk in the Wood Aroma Oil,720,0,personal care
"Stretch Mark Toning Butter - Coconut & Haldi, Ayurvedic, Enhances Skin Elasticity",749,0,personal care
"Stretch Mark Cream - Pure, Gentle & Safe, Moisturises Skin, Reduces Itching",518,0,personal care
"Mini Mother Care Kit - Stretch Mark Cream, 30 g & Methi Hair Oil 30 ml, Paraben & Toxin Free",198,0,personal care
Stretch Marks Skin Bio Therapy Oil - For All Skin Types,350,0,personal care
"Waist Girdle, Small",765,0,personal care
"Soothing Nipple Butter Cream - No Chemicals, Vegan, For Breast Feeding Moms",449,0,personal care
MSK BB 434 Fragrance Oil - Musk,35,0,personal care
Fragrance-Scented Oil - Sandalwood SNDLWD BB 434,35,0,personal care
"Mother Baby Care Combo - Stretch Marks Cream, Methi Seed Hair Oil & Baby Massage Oil",297,0,personal care
"Stretch Mark Cream, 30 g & Baby Massage Oil, 30 ml - Pure, Gentle & Safe, No Parabens",198,0,personal care
"Stretch Mark Serum - Evens Out Skin Tones, For Pregnancy Stretch Marks & Scars",549,0,personal care
Retone Nipple Depigmenting Serum - Cherry Blossom & Coconut Oil,599,0,personal care
"Natural Anti-Cellulite Toning Body Oil - Coffee, Turmeric & Ginger Oil, Tightens, Firms, Tones Skin",278,0,personal care
"Mini Mother Baby Care Combo - Baby Massage Oil & Methi Hair Oil, Paraben & Toxin Free",198,0,personal care
"Release Breast Destressing Oil - With Lavender & Rosehip Oil, Relaxes",249,0,personal care
Aroma Oil - Soulgreen,800,0,personal care
ROSE BB 434 Fragrance Oil - Rose,35,0,personal care
"Liquid Disinfectant for Floor Cleaner, Surface Disinfection, Personal Hygiene - Lavender Blossom",1087,0,personal care
Stand & Pee Biodegradable Urination Funnel For Women - Prevents Infection,299,16,personal care
"Lady Bladder Control Pads - Plus, Leakproof, Eliminates Odour",532,12,personal care
Super Soft Premium Disposable Maternity Breast Pads (36 Pads),449,15,personal care
Complete Care Pregnancy Gift Box,1689,5,personal care
Intimate Wash,550,25,personal care
Lady Slim Bladder Control Pads - Extra,247,17,personal care
Specialist Skin Care Oil,2210,80,personal care
Double Side Cotton Pads,149,80,personal care
For Moms - Nipple Care Butter,76,49,personal care
Natural Nipple Butter For Breastfeeding Moms,299,42,personal care
"Cotton Buds - Made With Natural Fibres, Soft",99,42,personal care
LMN BB 433 Fragrance Oil - Lemon,45,49,personal care
Washable Cotton Maternity Breast Pads - White,370,42,personal care
Love is in the Air Aroma Oil,720,40,personal care
